轮播频道,#genre#
亮剑,http://8.155.43.98:35455/huya/30080238
民兵葛二蛋,http://8.155.43.98:35455/huya/11602072
鹿鼎记,http://8.155.43.98:35455/huya/23650774
新鹿鼎记,http://8.155.43.98:35455/huya/11342388
三国演义,http://8.155.43.98:35455/huya/11602081
新三国演义,http://8.155.43.98:35455/huya/11352944
水浒传,http://8.155.43.98:35455/huya/26355860
新水浒传,http://8.155.43.98:35455/huya/11342384
西游记,http://8.155.43.98:35455/huya/20985836
封神榜,http://8.155.43.98:35455/huya/20432237
寻秦记,http://8.155.43.98:35455/huya/30080146
大宋提刑官,http://8.155.43.98:35455/huya/26355856
家有儿女,http://8.155.43.98:35455/huya/11352872
问心,http://8.155.43.98:35455/huya/11352890
你是我的荣耀,http://8.155.43.98:35455/huya/11352920
与凤行,http://8.155.43.98:35455/huya/26355866
我和僵尸有个约会,http://8.155.43.98:35455/huya/21059571
美人心计,http://8.155.43.98:35455/huya/26355837
延禧攻略,http://8.155.43.98:35455/huya/26355864
读心专家,http://8.155.43.98:35455/huya/30590779
如懿传,http://8.155.43.98:35455/huya/29465868
爱情公寓,http://8.155.43.98:35455/huya/11336726
还珠格格,http://8.155.43.98:35455/huya/30080241
创世纪,http://8.155.43.98:35455/huya/29465852
笑傲江湖,http://8.155.43.98:35455/huya/26355790
倚天屠龙记,http://8.155.43.98:35455/huya/11342403
雪山飞狐,http://8.155.43.98:35455/huya/23734176
沈腾电影,http://8.155.43.98:35455/huya/11601968
黄渤电影,http://8.155.43.98:35455/huya/11352876
徐峥电影,http://8.155.43.98:35455/huya/11602043
周星驰电影,http://8.155.43.98:35455/huya/11342412

亮剑,http://222.186.39.21:35466/huya/30080238
民兵葛二蛋,http://222.186.39.21:35466/huya/11602072
鹿鼎记,http://222.186.39.21:35466/huya/23650774
新鹿鼎记,http://222.186.39.21:35466/huya/11342388
三国演义,http://222.186.39.21:35466/huya/11602081
新三国演义,http://222.186.39.21:35466/huya/11352944
水浒传,http://222.186.39.21:35466/huya/26355860
新水浒传,http://222.186.39.21:35466/huya/11342384
西游记,http://222.186.39.21:35466/huya/20985836
封神榜,http://222.186.39.21:35466/huya/20432237
寻秦记,http://222.186.39.21:35466/huya/30080146
大宋提刑官,http://222.186.39.21:35466/huya/26355856
家有儿女,http://222.186.39.21:35466/huya/11352872
问心,http://222.186.39.21:35466/huya/11352890
你是我的荣耀,http://222.186.39.21:35466/huya/11352920
与凤行,http://222.186.39.21:35466/huya/26355866
我和僵尸有个约会,http://222.186.39.21:35466/huya/21059571
美人心计,http://222.186.39.21:35466/huya/26355837
延禧攻略,http://222.186.39.21:35466/huya/26355864
读心专家,http://222.186.39.21:35466/huya/30590779
如懿传,http://222.186.39.21:35466/huya/29465868
爱情公寓,http://222.186.39.21:35466/huya/11336726
还珠格格,http://222.186.39.21:35466/huya/30080241
创世纪,http://222.186.39.21:35466/huya/29465852
笑傲江湖,http://222.186.39.21:35466/huya/26355790
倚天屠龙记,http://222.186.39.21:35466/huya/11342403
雪山飞狐,http://222.186.39.21:35466/huya/23734176
沈腾电影,http://222.186.39.21:35466/huya/11601968
黄渤电影,http://222.186.39.21:35466/huya/11352876
徐峥电影,http://222.186.39.21:35466/huya/11602043
周星驰电影,http://222.186.39.21:35466/huya/11342412

亮剑,http://39.153.130.167:35455/huya/30080238
民兵葛二蛋,http://39.153.130.167:35455/huya/11602072
鹿鼎记,http://39.153.130.167:35455/huya/23650774
新鹿鼎记,http://39.153.130.167:35455/huya/11342388
三国演义,http://39.153.130.167:35455/huya/11602081
新三国演义,http://39.153.130.167:35455/huya/11352944
水浒传,http://39.153.130.167:35455/huya/26355860
新水浒传,http://39.153.130.167:35455/huya/11342384
西游记,http://39.153.130.167:35455/huya/20985836
封神榜,http://39.153.130.167:35455/huya/20432237
寻秦记,http://39.153.130.167:35455/huya/30080146
大宋提刑官,http://39.153.130.167:35455/huya/26355856
家有儿女,http://39.153.130.167:35455/huya/11352872
问心,http://39.153.130.167:35455/huya/11352890
你是我的荣耀,http://39.153.130.167:35455/huya/11352920
与凤行,http://39.153.130.167:35455/huya/26355866
我和僵尸有个约会,http://39.153.130.167:35455/huya/21059571
美人心计,http://39.153.130.167:35455/huya/26355837
延禧攻略,http://39.153.130.167:35455/huya/26355864
读心专家,http://39.153.130.167:35455/huya/30590779
如懿传,http://39.153.130.167:35455/huya/29465868
爱情公寓,http://39.153.130.167:35455/huya/11336726
